time,loc,vehicle,fare,disc,drivers
21:03:15,15,2 Wheeler,130,11.0,8
21:03:15,15,3 Wheeler,420,0.0,8
21:03:15,15,Tata Ace,682,0.0,8
21:03:15,15,Eeco,529,0.0,7
21:03:15,15,Pickup 8ft,846,0.0,6
21:03:15,15,E Loader,330,0.0,3
21:03:15,15,10ft,2700,0.0,4
21:03:15,15,14ft (Closed),4109,0.0,1
21:03:15,15,14ft,4222,0.0,2
21:03:15,15,14ft (Open),4222,0.0,1
21:03:15,15,17ft,4684,0.0,1
21:03:15,15,19ft,3911,0.0,0
21:03:28,16,2 Wheeler,64,5.0,8
21:03:28,16,3 Wheeler,356,0.0,8
21:03:28,16,Tata Ace,581,0.0,8
21:03:28,16,Eeco,441,0.0,8
21:03:28,16,Pickup 8ft,721,0.0,8
21:03:28,16,E Loader,266,0.0,8
21:03:28,16,10ft,1184,0.0,8
21:03:28,16,14ft (Closed),2385,0.0,6
21:03:28,16,14ft,2464,0.0,8
21:03:28,16,14ft (Open),2464,0.0,4
21:03:28,16,17ft,3134,0.0,2
21:03:28,16,19ft,3714,0.0,1
21:03:42,17,2 Wheeler,78,6.0,8
21:03:42,17,3 Wheeler,371,0.0,8
21:03:42,17,Tata Ace,569,0.0,8
21:03:42,17,Eeco,474,0.0,4
21:03:42,17,Pickup 8ft,731,0.0,8
21:03:42,17,E Loader,286,0.0,8
21:03:42,17,10ft,1247,0.0,6
21:03:42,17,14ft (Closed),2481,0.0,4
21:03:42,17,14ft,2576,0.0,8
21:03:42,17,14ft (Open),2576,0.0,6
21:03:42,17,17ft,3140,0.0,3
21:03:42,17,19ft,3720,0.0,1
21:03:54,18,2 Wheeler,72,6.0,8
21:03:54,18,3 Wheeler,368,0.0,8
21:03:54,18,Tata Ace,598,0.0,8
21:03:54,18,Eeco,456,0.0,3
21:03:54,18,Pickup 8ft,742,0.0,8
21:03:54,18,E Loader,277,0.0,8
21:03:54,18,10ft,1212,0.0,5
21:03:54,18,14ft (Closed),2424,0.0,3
21:03:54,18,14ft,2508,0.0,8
21:03:54,18,14ft (Open),2508,0.0,7
21:03:54,18,17ft,3142,0.0,3
21:03:54,18,19ft,3722,0.0,1
21:04:08,19,2 Wheeler,76,6.0,8
21:04:08,19,3 Wheeler,370,0.0,8
21:04:08,19,Tata Ace,557,0.0,8
21:04:08,19,Eeco,463,0.0,4
21:04:08,19,Pickup 8ft,756,0.0,8
21:04:08,19,E Loader,278,0.0,8
21:04:08,19,10ft,1228,0.0,4
21:04:08,19,14ft (Closed),2457,0.0,4
21:04:08,19,14ft,2548,0.0,8
21:04:08,19,14ft (Open),2548,0.0,6
21:04:08,19,17ft,3132,0.0,3
21:04:08,19,19ft,3712,0.0,1
21:04:22,20,2 Wheeler,104,9.0,8
21:04:22,20,3 Wheeler,471,0.0,8
21:04:22,20,Tata Ace,660,0.0,6
21:04:22,20,Eeco,569,0.0,5
21:04:22,20,Pickup 8ft,854,0.0,4
21:04:22,20,E Loader,290,0.0,0
21:04:22,20,10ft,2581,0.0,5
21:04:22,20,14ft (Closed),3935,0.0,0
21:04:22,20,14ft,4019,0.0,3
21:04:22,20,14ft (Open),4019,0.0,3
21:04:22,20,17ft,4665,0.0,3
21:04:22,20,19ft,3895,0.0,0
21:04:35,21,2 Wheeler,68,5.0,8
21:04:35,21,3 Wheeler,360,0.0,8
21:04:35,21,Tata Ace,587,0.0,8
21:04:35,21,Eeco,446,0.0,8
21:04:35,21,Pickup 8ft,728,0.0,8
21:04:35,21,E Loader,270,0.0,5
21:04:35,21,10ft,1193,0.0,6
21:04:35,21,14ft (Closed),2397,0.0,0
21:04:35,21,14ft,2477,0.0,0
21:04:35,21,14ft (Open),2477,0.0,0
21:04:35,21,17ft,3137,0.0,5
21:04:35,21,19ft,3717,0.0,1
21:04:48,22,2 Wheeler,75,6.0,8
21:04:48,22,3 Wheeler,357,0.0,8
21:04:48,22,Tata Ace,547,0.0,8
21:04:48,22,Eeco,455,0.0,8
21:04:48,22,Pickup 8ft,741,0.0,8
21:04:48,22,E Loader,275,0.0,3
21:04:48,22,10ft,1860,0.0,8
21:04:48,22,14ft (Closed),2924,0.0,6
21:04:48,22,14ft,3009,0.0,8
21:04:48,22,14ft (Open),3009,0.0,4
